id,logo_path,name,origin_country
118286,/uANGoTEOifjrGSQd4IxoV89PJjl.png,Bibury Animation Studios,JP
118502,/JQ5bx6n7Qmdmyqz6sqjo5Fz2iR.png,Nippon BS Broadcasting,JP
41861,/iQ9Av0fDGKDUInp4I5czxhz5fVj.png,GYAO,JP
187769,/hBhVw60TAa5qAT1pNELq1HjpZQ9.png,Good Smile Film,JP
42196,/nQNmHvcmaT0zk1Rf0TYtLYO5MpI.png,Bushiroad,JP
187770,/wrBqL7qMHPOBheZRTlA0Jpz0POF.png,MAGNET,JP
1,/o86DbpburjxrqAzEDhXZcyE8pDb.png,Lucasfilm Ltd.,US
11446,,Lereby Produções,BR
22602,/8IYhcuLMK8cdzlh3sugyOrWYGKJ.png,Brain's Base,JP
7819,/ghFZAt4edln0M7BzDExyYMzUGX1.png,Lotte Entertainment,KR
112850,,Film Momentum,KR
81594,,Michigan Venture Capital,KR
33,/8lvHyhjr8oUKOOy2dKXoALWKdp0.png,Universal Pictures,US
507,/aRmHe6GWxYMRCQljF75rn2B9Gv8.png,Atlas Entertainment,US
250,/evWKasiElVQywuKv2dI72P9twz8.png,Canal+ Polska,PL
208,/bxQYlRhQu6nbohBEL0SWz8xIAGy.png,Bac Films,FR
260,,Heritage Films,PL
264,/fA90qwUKgPhMONqtwY60GaHRyrW.png,Studio Babelsberg,DE
266,,Agencja Produkcji Filmowej,PL
268,/vxMEWcZ4TZ5XaK3fMVM4PRjvUDv.png,FFF Bayern,DE
269,,Filmboard Berlin-Brandenburg (FBB),DE
355,,R.P. Productions,FR
694,/5LEHONGkZBIoWvp1ygHOF8iyi1M.png,StudioCanal,FR
104,/9aotxauvc9685tq9pTcRJszuT06.png,Canal+,FR
6480,/qJUUNzFYXNUDaisssBTV3Zdki9R.png,TVP,PL
265,,Runteam,GB
2026,/q9s9KGhSsFEnpTmLLwprytB3T3d.png,FFA,DE
183947,,NoneMore Productions,GB
11461,/p9FoEt5shEKRWRKVIlvFaEmRnun.png,Bad Robot,US
3324,/dqT3yOTlfJRmtvk52Ccd1O6dZ0A.png,BBC,GB
