description,headquarters,homepage,id,name,origin_country
,"Montréal, Québec",https://www.carpediemfilmtv.com,20182,CarpeDiem Film & TV,CA
,,https://www.onanimationstudios.com,84713,ON Animation Studios,FR
,Paris,,140008,The Awakening Production,FR
,Neuilly-sur-Seine,https://www.snd-films.com,2902,SND,FR
,Paris,,79650,Zagtoon,FR
,,,35136,Method Animation,FR
,Chongqing,,200503,Fantawild,CN
,,,138896,Mediawan,FR
,Beijing,https://www.chinafilm.com/,14714,China Film Group Corporation,CN
,,,191194,Guo Fan Culture and Media,
,"Santa Clarita, California",,12365,Brownstone Productions,US
,"Burbank, California",http://linpictures.com,2723,Lin Pictures,US
,"Beverly Hills, California",http://www.katzsmith.com/,87671,KatzSmith Productions,US
,"Los Angeles, California",,114874,Signature Entertainment,US
,,http://www.eggfirm.com/,95809,EGG FIRM,JP
,,http://straightedge.jp/,162614,Straight Edge,JP
,,https://www.sonilude.com/,162613,Sonilude,JP
,"Los Angeles, California",,1353,Hanna-Barbera Productions,US
,"Takaido Higashi, Suginami-ku, Tokyo, Japan",http://mookanimation.co.jp/,100848,Mook Animation,JP
,Tokyo,,5896,Cine Bazar,JP
,"Los Angeles, California",https://rideback.com,118854,Rideback,US
,,http://www.divideconquer.us/,89115,Divide / Conquer,US
,,https://www.unanimousmedia.com,120524,Unanimous Media,US
,,https://story-inc.co.jp,128616,Story,JP
,"Santa Monica, California",https://madriverpictures.com,73492,MadRiver Pictures,US
,"Beverly Hills, California",,103331,G-BASE,US
,California,http://olivehillmedia.com,149107,Olive Hill Media,US
,,http://www.riverstonepictures.com/,76314,Riverstone Pictures,GB
,"Los Angeles, California",,11053,Capstone Pictures,US
,,,125401,BuzzFeed Studios,US
,"Los Angeles, California",,1620,Nuyorican Productions,US
,,http://www.sixthandidaho.com,101405,6th & Idaho,US
,"Gangnam, Seoul, South Korea",http://tcokr.co.kr,113586,The Contents On,KR
,,,162275,Contents G,KR
,,,162276,Cheum Film,
,"Seoul, South Korea",http://www.finecut.co.kr/html/main.php,11590,Finecut,KR
,"New York City, New York",,122323,Raimi Productions,US
,"Los Angeles, California",https://www.beckwoods.com/,133303,Beck/Woods,US
,"Burnaby, British Columbia",http://bronstudios.com,13240,Bron Studios,CA
,"Toronto, Ontario",http://www.cwmedialending.com/,53152,Creative Wealth Media Finance,CA
,,,200650,Relis Pic,
,Paris,https://pathe.com/fr/,7981,Pathé,FR
,Paris,,20339,Chapter 2,FR
,"Paris, France",,1115,M6 Films,FR
,Barcelona,https://www.deaplaneta.com/,123175,DeAPlaneta,ES
,"Mainz, Rhineland-Palatinate",https://www.zdf.de,4606,ZDF,DE
,Brussels,https://www.umedia.eu/en,19037,uMedia,BE
,"Culver City, California",http://www.blur.com/,10644,Blur Studio,US
,Tokyo,https://www.marza.com/en,77884,Marza Animation Planet,JP
,Beijing,http://www.bonafilm.cn,30148,Bona Film Group,CN
,,,431,The Donners' Company,US
,,,28788,Genre Films,US
,"Burbank, California",http://1492pictures.com,436,1492 Pictures,US
,"New York City, New York",http://weinsteinco.com/,308,The Weinstein Company,US
,,,372,Groucho II Film Partnership,
,,,1885,Silver Pictures,US
,"Burbank, California",,83036,Joint Effort,US
,"Los Angeles, California",http://www.phoenixpictures.com,11317,Phoenix Pictures,US
,"West Hollywood, California",,562,Appian Way,US
,"New York City, New York",,23243,Sikelia Productions,US
,,,181992,Mandate International,US
,"Los Angeles, California",,14654,EMJAG Productions,US
,,http://www.redgranitepictures.com/,19177,Red Granite Pictures,US
,,,2537,Kennedy Miller Productions,AU
,"Los Angeles, California",http://www.ratpacentertainment.com,41624,RatPac Entertainment,US
,,https://www.studiobabelsberg.com/en/,6817,Zehnte Babelsberg Film,DE
,,,6818,Visiona Romantica,US
,,,682,Peninsula Films,FR
color force productions a devision of Alarm Clock Films.,"West Hollywood, California",,5420,Color Force,US
,,,34034,LStar Capital,US
,,,19092,P of A Productions Limited,
,"New York, United States",,7297,Fairview Entertainment,US
,,,19231,Patalex III Productions Limited,
,,,462,Patalex IV Productions Limited,
,"Detroit, Michigan",,130,Jerry Bruckheimer Films,US
,"Pasadena, California",http://cruelfilms.com/,9995,Cruel & Unusual Films,US
,London,http://scottfree.com,1645,Scott Free Productions,GB
,"Santa Monica, California",,91797,Hutch Parker Entertainment,US
,"Chicago, Illinois",http://www.defynitefilms.com,36259,DefyNite Films,US
,,,36433,MJW Films,US
,,,19551,Marvel Enterprises,US
,,,326,Laura Ziskin Productions,
,"Los Angeles, California, USA",http://www.newregency.com,10104,New Regency Pictures,US
,,,15829,Pacific Standard,
,"Culver City, California",https://www.artemplehollywood.com,60682,Artemple - Hollywood,US
,,,77845,Monarchy Enterprises S.a.r.l.,
,,,8870,CatchPlay,
,"Culver City, California",http://www.anonymouscontent.com,10039,Anonymous Content,US
,,,13796,Hong Kong Alpha Motion Pictures Co.,
,,,52660,M Productions,
,,http://www.redwagonentertainment.com/,14440,Red Wagon Entertainment,US
,,http://www.millfilm.com/millfilm,21904,Mill Film,GB
,,,21905,C & L,MT
,,,21906,Dawliz,MA
,"New York City, New York",,258,Scott Rudin Productions,US
,,,32300,Lava Bear Films,US
,"Mumbai, Maharashtra",http://relianceentertainment.net,7294,Reliance Entertainment,IN
,,,88466,Xenolinguistics,CA
,"New York City, New York ",https://www.marvel.com,7505,Marvel Entertainment,US
,"Culver City, California",,53462,Matt Tolmach Productions,US
,Pennsylvania,,12236,Blinding Edge Pictures,US
,"New York, United States",https://www.maximumeffort.com/,104228,Maximum Effort,US
,,,39121,Super Cool ManChu,
,,https://monkeypawproductions.com,88934,Monkeypaw Productions,US
,"Los Angeles, California",http://www.qcfilmco.com,72725,QC Entertainment,US
,"London, England",http://www.gk-films.com,3281,GK Films,GB
,,,90995,Queen Films,GB
,"New York City, New York",,11391,Tribeca Productions,US
,"Los Angeles, California",,38145,Bristol Automotive,US
,"Santa Monica, California",https://blackbearpictures.com,22146,Black Bear Pictures,US
,"Los Angeles, USA",http://www.gotham-group.com,3672,Gotham Group,US
,,,8569,Dayday Films,GB
,,,3527,Green Hat Films,US
,"Redwood City, California, USA",,520,Pacific Data Images,US
,,https://www.marv.com,5374,Marv Films,GB
,,,78995,Cloudy Productions,GB
,"Los Angeles, California",https://blacklabel-media.com,33681,Black Label Media,US
,,,10161,Gilbert Films,US
,,,53247,Impostor Pictures,US
,Paris,http://www.europacorp.com/,6896,EuropaCorp,FR
,Paris,https://www.mycanal.fr/chaines/cineplus,10611,Ciné+,FR
,"Burbank, California",http://mandfilms.com,10227,Mandeville Films,US
,,,19936,Second Mate Productions,US
,"Beverly Hills, California",,7296,K/O Paper Products,US
,,,23271,SOIXAN7E QUIN5E,
,,,23272,See Me Louisiana,
,China,https://ieg.tencent.com/film.html,81620,Tencent Pictures,CN
,"Los Angeles, California",,433,Weed Road Pictures,US
,"London, England",http://www.bigtalkproductions.com,443,Big Talk Productions,GB
,"London, England",https://www.workingtitlefilms.com/,10163,Working Title Films,GB
,,,762,Mutual Film Company,
,,,1557,The Mark Gordon Company,US
,"Los Angeles, California",,28,Newmarket Films,US
,"London, England",https://www.eon.co.uk/,7576,Eon Productions,GB
,"Santa Monica, California",,10761,Danjaq,US
,,,23288,B23,
,,,7470,Esperanto Filmoj,US
,,,9168,Bad Hat Harry Productions,US
,,,31076,Simon Kinberg Productions,US
,,,9169,Hemisphere Media Capital,US
,,,23644,2DUX²,
,,,11956,Apparatus Productions,
,Valletta,https://latina.mt/,19108,Latina Pictures,MT
,"Beverly Hills, California",,81,Plan B Entertainment,US
,,,2609,De Line Pictures,US
,,,11249,Farah Films & Management,
,"New York City, New York",http://accessentertainmentmedia.com,103376,Access Entertainment,US
,,,16774,Peters Entertainment,
,,,11084,Parkes/MacDonald Productions,
,,,367,Kemp Company,
,,,368,Splendid Pictures,
,"Beverly Hills, California",http://www.zanuckco.com/,80,The Zanuck Company,US
,,,55512,Theobald Film Productions,GB
,,http://www.mediaasia.com/,5552,Media Asia Films,HK
,,,7380,Initial Entertainment Group,US
,"Los Angeles, California, USA",http://www.foxsearchlight.com/,43,Fox Searchlight Pictures,US
,"Santa Monica, California",,9350,Indian Paintbrush,US
,,,23449,American Empirical Pictures,US
,"Universal City, California",https://www.focusfeatures.com,10146,Focus Features,US
,,,10059,This Is That Productions,US
," Los Angeles, California",,506,Newmarket Capital Group,US
,,,598,Team Todd,
,,,34446,I Remember Productions,
,"Los Angeles, California",http://crosscreekpictures.com,10246,Cross Creek Pictures,US
,"New York City, New York",http://www.protozoa.com,7503,Protozoa Pictures,US
,,,449,Virtual Studios,US
,,,450,Anarchos Productions,US
,,,23889,Fünfte Babelsberg Film,
,Potsdam,https://www.medienboard.de/nc/en/,451,Medienboard Berlin-Brandenburg,DE
,,,215,Double Feature Films,US
,"Los Angeles, California",http://filmcolony.com,1811,FilmColony,US
,,,7413,3Foot7,NZ
,,,285,Live Entertainment,
,,,26198,Dog Eat Dog Productions,
,,,23202,Wigram Productions,US
,,,19855,Internationale Filmproduktion Blackbird Dritte,
,,,16314,Roth Films,US
,,,8601,Tim Burton Productions,
,,,19747,Brandywine Productions,US
,"London, England",http://www.moving-picture.com,20478,Moving Picture Company,GB
,"Los Angeles, California, United States",,2481,Platinum Dunes,US
,,,2994,Hollywood Gang Productions,US
,,,2995,Atmosphere Entertainment MM,US
,,http://www.nimarstudios.com,7636,Nimar Studios,BG
,"San Francisco, California",https://www.viz.com,6687,VIZ Media,US
,"Beverly Hills, California",http://www.3arts.com,787,3 Arts Entertainment,US
,,,49325,Parkes+MacDonald Image Nation,
,"Los Angeles, California",http://radarpictures.com,350,Radar Pictures,US
,,,5798,Shaw Brothers,HK
,,,4000,Maverick Films,US
,"Burbank, California",http://imprintentertainment.co,5218,Imprint Entertainment,US
,"London, England",http://www.goldcrestfilms.com,500,Goldcrest,GB
,,,57750,Twilight Productions,US
,"New York City, New York",,50481,Vendian Entertainment,US
,"Los Angeles, California",http://www.imglobalfilm.com,7437,IM Global,US
,"Ultimo, NSW",https://www.screenaustralia.gov.au/,7584,Screen Australia,AU
,"Sydney, NSW",http://www.screen.nsw.gov.au/,10951,Screen NSW,AU
,,,455,Permut Presentations,US
,,,8915,Pandemonium,
,,,13241,Demarest Films,
,,,8186,Bliss Media,CN
,,,94431,Kylin Pictures,CN
,"London, England",https://ai-film.com,51860,AI Film,GB
,,,13480,Haishang Films,TW
,"London, England",,133789,Ingenious Film Partners,GB
,,,32555,Netter Productions,US
,Beijing,http://www.wandamedia.cn/,83838,Wanda Pictures,CN
,"Los Angeles, California",http://www.companyfilms.com,7193,Company Films,US
,,,19961,Start Motion Pictures,
,"London, England",https://www.dnafilms.com,284,DNA Films,GB
,London,https://www.film4productions.com,6705,Film4 Productions,GB
,,,93105,IAC Films,US
,"Los Angeles, California",,11749,20th Century Fox Animation,US
,"Los Angeles, California",https://www.torridonfilms.com,79529,Torridon Films,US
,,http://1614ent.com,101829,16:14 Entertainment,US
,"Los Angeles, California",https://www.alconent.com,1088,Alcon Entertainment,US
,"Vancouver, British Columbia",http://thunderbird.tv,78028,Thunderbird Entertainment,CA
,"New York City, New York",,9015,Worldview Entertainment,US
,,,47169,Le Grisbi Productions,US
,,,57409,22 & Indiana Pictures,
,"Burbank, California",,171,Malpaso Productions,US
,,http://kennedymarshall.com/,862,The Kennedy/Marshall Company,US
,,,1280,Pacific Western,US
,,,3952,Hemdale Film,
,,,4764,Cinema 84,US
,,,7745,Euro Film Funding,
,"Boca Raton, Florida",,275,Carolco Pictures,US
,,,183,Le Studio Canal+,FR
,,,7263,FilmDistrict,US
,,,3263,OddLot Entertainment,US
,,,11337,Motel Movies,
,,,46625,Newbridge Film Capital,
,,,101082,Double Dare You Productions,US
,,,38833,Ian Bryce Productions,
,,,147577,YG Studioplex,KR
,"Mapo, Seoul, South Korea",http://www.ygfamily.com/,44337,YG Entertainment,KR
,,,181632,Movie Bros.,
,,,159161,August 1st Film Studio,
,,,122328,Huaxia Film Distribution,CN
,"Shanghai ",http://www.sfs-cn.com,3407,Shanghai Film Group,CN
,,,65442,Beijing Dengfeng International Culture,
,,,76473,Distribution Workshop,HK
,,,116133,A Really Happy Film,HK
,,,95816,Spring Era Film Company,
,,,95817,Beijing Dongfang International Cultural Communications Company,
,,,76394,Beijing Century Media Culture,
,,,95818,Chao Feng Pictures,
,,,95819,Orange Image,
,,,5219,Sunswept Entertainment,US
,"Beijing, China",https://www.maoyan.com/,100130,Tianjin Maoyan Media,CN
,,,149256,北京大碗娱乐文化传媒有限公司,
,,,149257,Beijing Cheering Times Culture & Entertainment,CN
,,,98983,上海儒意影视制作有限公司,CN
,,http://www.centropolis.com,347,Centropolis Entertainment,US
,,,92693,The Detective Agency,US
,"Los Angeles, California",https://www.infinitum-nihil.com,2691,Infinitum Nihil,US
,,,10905,Farewell Productions,
"Relativity Media is an American film studio located in West Hollywood, California which acquires, develops, produces, and distributes films and produces television programming. It was founded in 2004 by Ryan Kavanaugh.","Beverly Hills, California, United States",http://relativitymedia.com,7295,Relativity Media,US
,,,48499,F & F VI Productions A.I.E,
,"Beverly Hills, California",http://imagine-entertainment.com,23,Imagine Entertainment,US
,,,8253,Skylark Productions,
,"Los Angeles, California, United States",https://www.walden.com/,10221,Walden Media,US
,,,79503,C.S. Lewis Company,
,,,17818,Beijing Enlight Pictures,CN
,,,167789,Chengdu Coco Cartoon,CN
,,,153464,Film Carnival,
,,,153465,Rocket Science 3D,
,,,153466,Its Just Us Productions,
,,,172,NPV Entertainment,US
,"Los Angeles, California",,105052,Roth-Kirschenbaum Films,US
,,,7490,TSBD Canada Productions,
,,,58321,TSBD Louisiana,
,,,58322,TSBD Productions,
,"Rio de Janeiro, Rio de Janeiro, Brazil",http://www.totalfilmes.com.br/,6446,Total Entertainment,BR
,"Santa Monica, California",,7076,Chernin Entertainment,US
,,,143191,Hurwitz Creative,
,,,189906,Beijing Yitong Legend Films,
,,,2269,China Film Co-Production Corporation,CN
,Beijing,,148030,壹同制作,CN
,,,69485,Odin,
,,,98750,Huanxi Media Group,
,,,10284,Edko Films,HK
,"Los Angeles, California",http://www.spyglassentertainment.com/,158,Spyglass Entertainment,US
,,,915,Hollywood Pictures,US
,,,17032,Barry Mendel Productions,US
,,,41756,GH Three,US
,,,28064,Blue Light,US
,"Los Angeles, California",,675,Forward Pass,US
,"Yas Island, Abu Dhabi",https://imagenationabudhabi.com/,6736,Imagenation Abu Dhabi FZ,AE
,"West Hollywood, California",,20154,Mad Hatter Entertainment,US
,,,76068,Digital Image Associates,
,"Santa Monica, California",,152,Icon Productions,US
,"London, England, UK",http://www.littlestarservices.com,34441,Littlestar,GB
,,http://www.playtone.com,4171,Playtone,US
,,,2655,Internationale Filmproduktion Richter,DE
,,,44,Cruise/Wagner Productions,US
,,https://www.stillking.com/,11345,Stillking Films,CZ
,,,41053,Casino Royale Productions,
,,,22790,B22,
,,,109462,The P.L.A Navy Government TV Art Central of China,
,,,109463,Star Dream Studio Media,
,,,109464,Emperor Film Production,HK
,,,109465,Film Fireworks Production,
,,,83809,ZAK Film Productions,
,,,20035,Sun Canada Productions,CA
