description,headquarters,homepage,id,name,origin_country
,Tokyo,http://www.ntv.co.jp/english,6755,Nippon Television Network Corporation,JP
,"Akasaka, Minato, Tokyo",http://www.tfc.co.jp/,1780,Tohokushinsha Film Corporation,JP
,"Shinagawa, Tokyo",https://www.tokuma.jp/,1779,Tokuma Shoten,JP
,,https://www.d-rights.com/,12518,d-rights,JP
,"Burbank, California",https://movies.disney.com,2,Walt Disney Pictures,US
,"Chiyoda City, Tokyo",http://www.dax-pro.co.jp/,92437,DAX Production,JP
,,https://www.nichion.co.jp/,157471,Nichion,JP
,,http://bibury-st.com/,118286,Bibury Animation Studios,JP
,,,118502,Nippon BS Broadcasting,JP
,Tokyo,http://www.gyao.co.jp/,41861,GYAO,JP
,,https://www.goodsmilefilm.com/,187769,Good Smile Film,JP
,"Nakano, Tokyo, Japan",https://bushiroad.com/,42196,Bushiroad,JP
,,https://www.kyoraku.co.jp/magnet,187770,MAGNET,JP
,"San Francisco, California",https://www.lucasfilm.com,1,Lucasfilm Ltd.,US
,"Rio de Janeiro, Brazil",https://www.lereby.com.br/,11446,Lereby Produções,BR
,"Mitaka, Tokyo",http://www.brainsbase.co.jp,22602,Brain's Base,JP
,"Songpa, Seoul, South Korea",http://lotteent.com/Main/Main.asp,7819,Lotte Entertainment,KR
,"Mapo, Seoul, South Korea",,112850,Film Momentum,KR
,"Gangnam, Seoul, South Korea",http://www.michiganvc.net/,81594,Michigan Venture Capital,KR
,"Universal City, California",http://www.universalpictures.com/,33,Universal Pictures,US
,"Los Angeles, California",http://atlasentertainment.com/,507,Atlas Entertainment,US
,Warsaw,https://pl.canalplus.com/,250,Canal+ Polska,PL
,"Paris, France",http://www.bacfilms.com/production/,208,Bac Films,FR
,"Warszawa, Poland",http://www.heritage.com.pl,260,Heritage Films,PL
,Potsdam,http://www.studiobabelsberg.com,264,Studio Babelsberg,DE
,,,266,Agencja Produkcji Filmowej,PL
,Munich,https://www.fff-bayern.de/,268,FFF Bayern,DE
,,,269,Filmboard Berlin-Brandenburg (FBB),DE
,"Paris, France",,355,R.P. Productions,FR
,Paris,http://www.studiocanal.fr,694,StudioCanal,FR
,Paris,https://www.canalplus.fr,104,Canal+,FR
,Warsaw,http://www.tvp.pl,6480,TVP,PL
,,,265,Runteam,GB
,,https://www.ffa.de,2026,FFA,DE
,"London, England",,183947,NoneMore Productions,GB
,"Santa Monica, California",http://www.badrobot.com/,11461,Bad Robot,US
,"Broadcasting House, London, England",https://bbc.co.uk,3324,BBC,GB
,"Los Angeles, California, United States",http://boldfilms.com/,2266,Bold Films,US
,"Los Angeles, California",http://www.blumhouse.com,3172,Blumhouse Productions,US
,"West Hollywood, California",http://rightofwayfilms.net,32157,Right of Way Films,US
,"Beverly Hills, California",http://www.sierra-affinity.com,24049,Sierra/Affinity,US
,"Culver City, California, USA",https://www.stage6films.com/,11341,Stage 6 Films,US
,"New York City, New York",http://www.sonyclassics.com/,58,Sony Pictures Classics,US
,"West Hollywood, California",http://www.thedenofthieves.com,91410,Den of Thieves,US
,,,69922,Taylor Swift Productions,US
,,,4286,Juno Pix,
,,,65393,Cecchi Gori Pictures,
,,http://www.bones.co.jp,2849,BONES,JP
,,https://www.toysfactory.co.jp,139842,TOY'S FACTORY,JP
,,https://www.kddi.com/,11848,KDDI,JP
,,https://moviewalker.co.jp/,170125,Movie Walker,JP
,,https://www.tbsradio.jp/,91253,TBS Radio,JP
,,,10715,Alfred J. Hitchcock Productions,US
,"Musashino, Tokyo",http://www.gainax.co.jp,3041,GAINAX,JP
,Tokyo,https://www.movic.jp,3466,movic,JP
,,,21504,Star Child Recording,
,"Roppongi, Minato",http://www.txhd.co.jp/,3034,TV Tokyo,JP
,"Musashino, Tokyo",http://www.productionig.com,529,Production I.G,JP
,Tokyo,https://kadokawashoten.kadokawa.co.jp,1194,Kadokawa Shoten,JP
,"Chuo, Tokyo",https://www.toei.co.jp,5822,Toei Company,JP
,"Shinagawa, Tokyo",https://www.sega.co.jp/en/index.html,113750,SEGA,JP
,,,11308,Savoy Pictures,
,,,924,The Turman-Morrissey Company,
,,,2680,Kurosawa Production,JP
,,,41,Orion Pictures,US
,,,55072,Strong Heart/Demme Production,US
,,,31364,Rakuonsha,JP
,,https://www.bandainamcoarts.co.jp/,136217,Bandai Namco Arts,JP
,Tokyo,https://www.lantis.jp/top.html,6683,Lantis,JP
,,https://heart-company.co.jp/,155271,Heart Company,JP
,,,155307,Miracle Bus,JP
,,,71975,Roy Export Company Establishment,
,"Koganei, Tokyo Prefecture",,12516,Nibariki,JP
,,,67681,TNDG,
,"Higashi–Shinbashi, Minato, Tokyo",https://www.dentsu.com/?global=true,1778,dentsu,JP
,"Seongdong, Seoul, South Korea",,49096,Yong Film,KR
,,,70884,Yang & His Gang Filmmakers,
,,,78456,Touché Films,
,Bogotá,https://www.dynamo.net/home,7062,Dynamo,CO
,Neuilly sur Seine,http://www.gaumont.fr,9,Gaumont,FR
,,,66743,Les Films du Dauphin,FR
,,,1315,Charles Chaplin Productions,
,"Burbank, California",,9195,Touchstone Pictures,US
,,,10282,Silver Screen Partners IV,US
,,,184460,A Steven Haft Production,
,,,1089,Witt/Thomas Productions,
,,,1757,Mad Chance,US
,Minsk,http://www.belarusfilm.by/,12617,Belarusfilm,SU
,Moscow,https://en.mosfilm.ru,344,Mosfilm,SU
,Beijing,http://www.zhuiguang.com/?lang=en,67089,Light Chaser Animation Studios,CN
,,http://www.alibabapictures.com/simp/0-home.html,69484,Alibaba Pictures Group,CN
,,,3212,Teshigahara Productions,JP
,"Suginami, Tokyo",https://www.khara.co.jp/,4145,khara,JP
,"Culver City, California",http://www.overbrookent.com,907,Overbrook Entertainment,US
,,,25287,San Marco,IT
,,http://wearewayfarer.com/,84409,Wayfarer Entertainment,US
,"Los Angeles, California, United States",http://www.cbsfilms.com/,5490,CBS Films,US
,"Nakano, Tokyo",http://www.madhouse.co.jp,3464,Madhouse,JP
,,http://www.rex.co.jp,185544,Rex Entertainment,JP
,,,201821,Kotobuki Seihan Printing,
,"Fukushima-ku, Osaka",https://corp.asahi.co.jp,4868,Asahi Broadcasting Corporation,JP
,,,201822,Fangs Co.,
,Rome,http://www.titanus.it/eng/index.php,641,Titanus,IT
,Paris,,534,Filmsonor,FR
,,,1826,Play Art,FR
,"San Francisco, California",https://www.zoetrope.com,70,American Zoetrope,US
,"Yongsan, Seoul",https://www.bighitcorp.com/kor/,86824,Big Hit Entertainment,KR
,"Mapo, Seoul",https://www.cjenm.com/en/,7036,CJ Entertainment,KR
,"Yongsan, Seoul, South Korea",http://corp.cgv.co.kr/,128333,CJ CGV,KR
,,,137006,Lanistar Media,
,,https://www.motioncontentgroup.com/,98733,Motion Content Group,
,,,126639,CJ Entertainment Turkey,TR
,1 place du Spectacle 92863 ISSY-LES-MOULINEAUX Cedex 9,https://www.canalplus.com/chaines/cineplus,6301,CinéCinéma,FR
,"Clichy, France",https://prod.quad.fr,7038,Quad Productions,FR
,,,7766,Chaocorp,FR
,,,8018,Ten Films,FR
,Boulogne-Bllancourt,https://www.tf1.fr/,22123,TF1,FR
,"Santa Monica, California",https://skydance.com/film/,82819,Skydance,US
,,,10288,Don Simpson/Jerry Bruckheimer Films,US
,"Glendale, California",http://www.dreamworksanimation.com/,521,DreamWorks Animation,US
,Rome,http://medusa.it,6246,Medusa Film,IT
,,,27597,Sciarlò,
,"Beverly Hills, California",,611,Bryna Productions,US
,"Gangnam, Seoul, South Korea",,399,Show East,KR
,"Gangnam, Seoul, South Korea",,118802,Egg Film,KR
,"Gangnam, Seoul, South Korea",http://www.cineclickasia.com/,685,Cineclick Asia,KR
," Burbank, California",https://www.marvel.com/movies,420,Marvel Studios,US
,"Burbank, California",,2785,Warner Bros. Animation,US
,"Burbank, California",https://www.dc.com,9993,DC Entertainment,US
,,http://www.lerche.jp,42811,Lerche,JP
,"Montreal, Quebec",http://www.metafilms.ca/eng,13839,Metafilms,CA
,,,50488,Sons of Manual,CA
," California",,11770,Liberty Films,US
,Kilkenny,http://www.cartoonsaloon.ie,23948,Cartoon Saloon,IE
,,https://www.melusineproductions.com,13351,Melusine Productions,LU
,,,142984,Value&Power Culture Communications,CN
,"5 rue Plaetis,L-2338 Luxembourg",http://www.filmfund.lu/,11776,Film Fund Luxembourg,LU
,Galway,https://www.screenireland.ie,1898,Screen Ireland,IE
,Dublin,https://www.bai.ie,30280,Broadcasting Authority of Ireland,IE
,Paris,https://www.hautetcourt.com,726,Haut et Court,FR
,"Donnybrook, Dublin, Ireland",https://www.rte.ie/,1923,RTÉ,IE
,Paris,https://www.ocs.fr,11620,OCS,FR
,"3 rue de la Charente, 16000 Angoulême",https://www.magelis.org/,142985,Pôle Image Magelis,FR
,Montrouge,https://folivari.com,89705,Folivari,FR
,,https://gkids.com,32853,GKIDS,US
,"Suginami. Tokyo Prefecture, Japan",http://www.ufotable.com,5887,ufotable,JP
,,https://www.shueisha.co.jp/,2918,Shueisha,JP
,,http://www.mausu.net/html_studio/studio.html,91520,STUDIO MAUSU,JP
,"Shinjuku, Tokyo",https://www.futabasha.co.jp/,62866,Futabasha,JP
,"Suginami, Tokyo",http://www.voln.co.jp/,56933,Studio VOLN,JP
,,https://www.tohan.jp/english/,145105,Tohan,JP
,Osaka,http://www.asahi.com/english/,3031,The Asahi Shimbun,JP
,,https://half-hp.co.jp/,84461,HALF H・P STUDIO,JP
,"Burbank, California",,171656,Walt Disney Feature Animation,US
,"San Sebastián de los Reyes, Madrid",https://cine.atresmedia.com,29566,Atresmedia,ES
,Madrid,https://www.thespastudios.com,101644,The SPA Studios,ES
,,,164323,Saul Projects,
,Stockholm,http://www.sfstudios.se,6181,SF Studios,SE
,,,93145,Deantir,IT
,,http://cloverworks.co.jp/,121589,CloverWorks,JP
,"Chiyoda, Tokyo",https://s.mxtv.jp/,157002,Tokyo MX,JP
,Nagoya,http://nagoyatv.com,81418,Nagoya Broadcasting Network,JP
,,https://www.hakuhodody-map.jp/,142186,Hakuhodo DY Music & Pictures,JP
,"Los Angeles, California, United States",http://www.participantmedia.com/,6735,Participant,US
,"Universal City, California",http://dreamworkspictures.com,7,DreamWorks Pictures,US
,,https://cineticmedia.com,88582,Cinetic Media,US
